"ID","klimatischer Stressor","Impact","Branche(n)","Unternehmensbereich","Unternehmen","Land","Naturraum","Beschreibung","Textstelle(n)","Spalte1","Spalte2","Spalte3","Spalte4","Spalte5","Spalte6","Spalte7","Spalte8","Spalte9","Spalte10"
,"Hitze","Beinträchtigung von hitzeempfindlichen Betriebsmitteln --> Verzögerungen im Arbeitsablauf","Bausektor; Verarbeitendes Gewerbe; Logistik","Betriebsmittel; Produktion / Betrieb","B2; D2; C1; Gaggenau; Doll","Deutschland; Frankreich","Tieflagen","Bitumen ist hitzeempfindlich, verändert Konsistenz","Hars et al, S. 44, S. 51","Gag: les films de protection qui sont sur les tôles peuvent laisser un film de colle en été, quand il fait très chaud, ce qui génère des travaux de nettoyage assez conséquents","Doll: Das gibt es immer wieder so Umwelteffekte die einen negativ beeinflussen. Klar, das sind unter anderem natürlich auch Hitze [...] Da hat man ja natürlich bei extremer […] Wärme natürlich auch negative Effekte auf Fahrzeuge, auf LKW zum Beispiel. Merkt man dann schon, ja.",,,,,,,,
,"Hitze","Verschieben von Schichten in Nacht- und Morgenstunden --> planerischer Aufwand, Zusatzkosten durch Nachtaufschlag, Mitarbeiterunzufriedenheit","Verarbeitendes Gewerbe","Management; Produktion / Betrieb; Personal","Gaggenau","Frankreich","Tieflagen","Wärmebelastung bleibt trotzdem zu gewissem Grad bestehen","Gaggenau: Quand on a les 3 / 4 semaines où les températures sont relativement élevées chaque année, on passe en équipe de nuit pour ces personnes-là. On a toute la contrainte de l’équipe de nuit, donc ça nous coûte aussi derrière. Et même la nuit, si les températures ne descendent pas en dessous de 20°C, ça reste quand-même assez chaud. Par contre, ça leur permet au moins d’ouvrir en grand les grandes portes. […] c’est fréquent en été, oui. Donc on a des ateliers qui sont en 3 équipes, ça c’est pas un souci, mais cet atelier-là n’est pas censé être en 3 équipes. [...]Pendant la canicule de 2003, on a décalé les horaires. C’est la solution la plus facile à mettre en œuvre mais elle n’est pas trop durable. Elle a aussi un coût, bien-sûr. C’est un peu idiot de faire travailler les gens la nuit… Parce qu’à l’époque, ces ateliers là travaillaient uniquement en journée, en montage on travaillait en une équipe.",,,,,,,,,,
,"Hitze","geringere Erträge aus tierischen Erzeugnissen wg. geringerer Milchleistung, erhöhter Mortalität und reduzierter Fruchtbarkeit","Landwirtschaft","Rohstoffe","Ringlihof, u.a.",,,,"Nagy 2017","Stech 2021","Raab 2020",,,,,,,,
,"Hitze","zunehmender Hitzestress bei Touristen, auch in Höhenlagen --> Minderung der Attraktivität der Urlaubsregion","Tourismus","Absatz",,,,,"Kolb & Konrad 2021",,,,,,,,,,
,"Hitze / allg. Temperaturanstieg","temperaturbedingte Verschiebung von Abläufen & Terminen --> organisatorischer Mehraufwand, Kapazitätsengpässe, Lieferverzögerungen, höhere Arbeitsbelastung und Überstunden","Bausektor; Logistik","Management; Produktion / Betrieb","U2; Dischinger","Deutschland","Tieflagen","Logistik: Hitze bzw. warme Witterung führt zu verschobenen Produkteinführungsterminen (z. B. Wein, Kirschen) und damit zu sich überschneidenden Peaks beim Ausliefern, schlecht planbar; Bausektor: wegen gestiegener Nachfrage z. B. nach Dachdämmung oder Swimming Pools","Hars et al. S. 24","Dischinger: Natürlich haben wir jetzt auch wieder einen Nachteil gehabt dieses Jahr: Schokolade für Weihnachten geht jetzt los. Das merken Sie wahrscheinlich, weil Sie schon Lebkuchen kaufen können. Also, bei uns ist im Oktober immer Weihnachtssaison. Und normalerweise fällt der Neue Süße immer vorher. Jetzt haben wir aber schon das zweite Mal, wo es gleichzeitig gekommen ist. Durch die verspätete Weinlese. Also beim Neuen Süßen habe ich immer einen Peak, und eben Schokolade. Und Produkteinführung ist, wenn die Kirsche kommt. Mon Chéri. Das machen die anderen Kunden auch. Also Lindt und so. Die richten sich auch alle... also Ferrero ist da Trendsetter, und das richtet sich dann.. Die Produkteinführung ist schon von Ende August, […] und das schiebt sich auch Schritt für Schritt nach hinten. Das merken wir auch. Auf Grund von Hitze. Wenn es heiß ist, hatten wir das schon oft, dass eine Produkteinführung verschoben wurde. Das können wir nicht beeinflussen, müssen wir nur darstellen. Und natürlich ist das dann für uns erschwert darstellbar, personal-, arbeitsmäßig.[...] Ja, da sind echt Kapazitätsengpässe. ",,,,,,,,,
,"Hitze / allg. Temperaturanstieg","erhöhter Investitionsbedarf in Klimatisierungsmaßnahmen","Logistik","Finanzen","Contargo","Deutschland","Tieflagen",,"Kolhof et al. 2018, S. 18",,,,,,,,,,
,"Hitze / allg. Temperaturanstieg","erhöhter Kühlenergiebedarf --> Energiekosten steigen","Getränkeindustrie; Logistik; Verbeitendes Gewerbe; Nahrungsmittelindustrie; Landwirtschaft","Kritische Infrastrukturen; Finanzen","Brauerei Kleines Bierhaus; Decker Bier; Mineralquelle Eptingen AG; Dischinger; Gaggenau; Kronenbourg; u.a.","Deutschland; Schweiz; Frankreich","Tieflagen; mittlere Lagen","zur Gebäudekühlung (Büros, Produktionsgebäude, Lagerhallen, Ställe, Gewächshäuser) und zur Kühlung temperatursensibler Güter","Bierhaus: Ich merke auch, wie ich mehr Leistung brauche, mehr Energie brauche, die Kühlhäuser, die ich brauche zum Bierbrauen, wo das Bier drin reift, runterzukühlen im Sommer. […] Ich merke  die  Hitze,  dass  ich  mehr  Kühlleistung  brauche  für  die  Kühlhäuser.  Doch,  stimmt eigentlich schon. Wolf:Das heißt wahrscheinlich auch höhere Energiekosten? Herr:Richtig, genau ja. ","Decker: Und das bedeutet natürlich auch immer Energie. Einsatz von Energie für Kühltechnik und auch für Wärme. Ein ganz interessanter Vorreiter ist da die Brauerei Rogg in Lenzkirch. Die sind solarzertifiziert –die haben große Photovoltaik-Anlagen. Die heizen ihr Wasser –ich glaube über 80% -mit Sonnenenergie","Eptingen: Also wir haben z.B. gemerkt, dass eine Quelle, wo das Wasser etwa zwei Grad wärmer ist. Aber das hat für uns auch keinen großen Einfluss. Wir müssen das Wasser, bei der Quelle wo ich jetzt erwähne, sowieso etwas runterkühlen, und wenn es ein bisschen wärmer ist müssen wir es natürlich mehr kühlen, das kostet etwas mehr Energie. ","Dischinger: Also, unsere Energiekosten, die gehen so.. [deutet mit der Hand nach oben]..und das ist ja logisch. Im Sommer müssen wir ja bedeutend mehr kühlen. ","Gaggenau: quand il fait plus de 30°C, on consomme beaucoup plus d'énergie","Kolhof et al 2018: Weiterhin lässt sich erkennen, dass die Betriebsmittel  bei  zunehmender  Hitze  einer  stärkeren  Kühlung  bedürfen,  zum  einen um  die gesundheitlichen Beeinträchtigungen für das Personal zu minimieren  und zum anderen, um den  Bedürfnissen  temperatursensibler  Güter  gerecht  werden  zu  können.   Verderbliche Produkte  wie  Lebensmittel  oder  Medikamente  oder  Gefahrgüter  wie  Chemikalien  bedürfen zur   Gewährleistung   einer   gleichbleibenden   Produktqualität   stabiler   Tempertatur-und Luftfeuchtewerte  bei  Lagerung  und  Transport","Dörr 2021, S. 27","Stech 2021",,,
,"Hitze; Dürre; allg. Temperaturanstieg","Rückgang von nicht-hitzetoleranten Anbaupflanzen --> Verlust von Sorten und regionaltypischen Nahrungs- und Genussmitteln","Nahrungsmittelindustrie; Landwirtschaft","Absatz; Rohstoffe","Dörr 2021","Deutschland",,"wg. Schlechterer Wuchsbedingungen für hitzeempfindliche landwirtschaftliche Anbauprodukte - z. B. Riesling, Eiswein; Kartoffeln, Zuckerrüben ","Dörr 2021","Stech 2021","Nagy 2017",,,,,,,,
,"Hitze / Starkregen / Gewitter & Hagel / Sturm ","Nachwuchsmangel wg. Zunahme an Extremereignissen","Bausektor","Personal","Z1","Deutschland","Tieflagen","sinkende Attraktivität von Berufen mit viel Arbeitszeit im Freien wg. zunehmendem Extremwetter","Hars et al. S. 28f.: ""das ist sicher auch klimaabhängig weil viele Jugendliche sich sicherlich denken, was soll ich mich bei 40 Grad und im Winter bei null Grad aufs Dach stellen""",,,,,,,,,,
,"Hitze; Dürre","Kunden-Unzufriedenheit wg. eingeschränktem Pflanzenwachstum bei Dach- und Fassadenbegrünungen","Bausektor ","Absatz; Rohstoffe","B1","Deutschland","Tieflagen",,"Hars et al, S. 48",,,,,,,,,,
,"Dürre","Grundwasserspiegel sinkt --> zunehmende Wasserknappheit --> zunehmende Konkurrenz und Nutzungskonflikte um sauberes Trinkwasser","Wasserversorgung; Forst- und Holzwirtschaft","Rohstoffe; Kritische Infrastrukturen","IWB; SWMS; badenova; Forstbetrieb 1; Sägewerk 3","Schweiz; Deutschland","Tieflagen; mittlere Lagen; Hochlagen","v.a. in höher gelegene Gemeinden, wo Quellen trocken fallen; und in Gemeinden mit landwirtschaftlicher Bewässerung (Mais, Getreide, Weinbau)","IWB: Aber was man schon gesehen hat, nicht in Basel, aber in einzelnen Gemeinden der Schweiz, dass dort im letzten Sommer schon Wasserknappheit herrschte. Es wird sicherlich Gemeinden oder Regionen geben, die nicht das ganze Jahr durchgehend die Trinkwasserversorgung in gleicher  Qualität  und  Länge  aufrechterhalten  können  und  das  wird  sich  sicherlich  steigern. Und  es  wird  in  den  nächsten  10-20  Jahren  eine  größere  Konkurrenz  geben  um  sauberes Trinkwasser,  sicherlich  auch  in  Europa.  Das  gibt  es  jetzt  schon  immens  in  trockeneren Regionen der Erde. Das Thema Wasser wird einer der entscheidenden Faktoren der nächsten Jahre  und  Jahrzehnte  sein,  weil  die  Wasserknappheit  immens  zunimmt –aber  nicht  in  der Schweiz; aber eben doch in einzelnen Gemeinden. ","SWMS: wir merken einfach, dass die Quantität abnimmt. Sowohl was das Quellwasser  angeht,  aber  auch –wir  machen  jede  Woche  Pegelstandmessungen  bei  den Tiefbrunnen -wir  merken,  dass  das  weiter  absinkt.  Nicht  dramatisch,  man  kann  noch  tiefer bohren, aber es nimmt ab und die Zahlen haben wir, da haben wir auch Grafiken dazu und die präsentieren wir auch regelmäßig. Das war in Lörrach genau das gleiche, da war eigentlich ein relativ gutes Aquifer und auch da besteht erstmal keine Sorge, dass das Wasser ausgeht, aber man merkt einfach, dass das Aquifer immer tiefer geht und dass da eine Veränderung stattfindet. [...] Krieger:Jetzt  hätte  ich  nochmal  eine  Frage  zum  Thema  Wald.  Ist  das  dann  eher  die Wasserqualität oder -quantität, also in welchem Bereich hat das eher Auswirkungen?Elias:Naja für manche ist es beides, es ist aber v.a. die Quantität, d.h. die Menge. [...] Dürre  wirkt  sich  insofern  aus,  dass  wir  ganz  viele  Anfragen  aus  der Landwirtschaft  bekommen.  Viele  Landwirte  haben  eigene  Tiefbrunnen,  beziehen  da  das Wasser,machen was Sie wollen, das ist kaum zu kontrollieren. Viele Fragen aber auch an, ob Sie eine größere Leitung kriegen, weil Sie dann mit Trinkwasser bewässern wollen. Und das verneinen wir immer ganz klar, weil wir sagen Trinkwasser ist nicht zum Bewässernder Felder da. Aber das ist ein Riesen Thema, Dürre für die Landwirtschaft. Nicht nur für den klassischen Landwirt, der Mais und Weizen und sonstige Sachen anbaut, sondern auch die ganzen Winzer haben  Riesen  Probleme  mit  der  Trockenheit  und  auch  da  gibt  es  Anfragen,  ob  man  nicht Bewässerungssysteme  aufbauen  kann. [...] Wir  merken  einfach,  dass  die  Nachfrage  riesengroß  ist aus  allen  Bereichen.  Und  das  ist natürlich  Dürrebedingt","badenova: Wir haben in Ebnet ein Grundwasserwerk stehen, was eigentlich 1400 Kubikmeter  in  der  Stunde  fördern  sollte;  2018  sind  wir  bis  auf  400Kubik  in  der  Stunde runtergegangen.  Das  heißt  nicht,  dass  das  Wasser  nicht  dagewesen  wäre,  aber  die Grundwasserstände  sind  soweit  abgesunken,  dass  wir  nicht  weiter  gefördert  haben.  Wir nehmen  das  dann  einfach  zurück,  weil  wir  gleichzeitig  Sorge  haben,  dass  wir  unseren Grundwasserleiter zerstören, wenn wir zu weit runter gehen. Deswegen drosseln wir dann ein. Das hieß aber, um das gleiche Niveau der Vorjahre zu halten, mussten wir bis auf 400 zurück gehen von der Fördermenge her. Das ist natürlich für ein Werk, was das zweite Standbein für Freiburg ist, nicht unerheblich, wenn wir solche Eindrosselungen fahren.","Fortsbetrieb 1: Ja, also die Grundwasserveränderung, die macht uns schon schwer zu schaffen, im Wald jetzt.","Säge 3: Dürren und Trockenheit: Gut, jetzt hat es zum Beispiel mit dem Holz geregnet, dann kann es Schwierigkeitengeben. Das ist eigentlich dasStammholz  und  Sturmanfall  kann  man  am  besten  auf  einem Nasslagereben konservieren und da wirds dann schon mal mit der Wasserwirtschaft Schwierigkeitenaber nicht,weil der Bach einen Schaden hat sondern weil es eben nicht den Vorschriftenentspricht. Das ist  ja  wenn  man  Holz  beregnet  dann macht man  das  ja  quasi  nicht  weg,  das  fließt  ja  wieder zurück. So das meine ich damit. Aber natürlich die Wasserwirtschaft hat ja Vorschriften und (...)und da kann es dann schon zu Schwierigkeiten kommen.",,,,,,
